"dvalor","Freq","dlanzado","dguardado","Per"
"15",1,9,7,0.000224466891133558
"17",1,9,7,0.000224466891133558
"20",1,9,7,0.000224466891133558
"23",3,9,7,0.000224466891133558
"24",10,9,7,0.000224466891133558
"25",2,9,7,0.000224466891133558
"26",16,9,7,0.000224466891133558
"27",13,9,7,0.000224466891133558
"28",15,9,7,0.000224466891133558
"29",22,9,7,0.000224466891133558
"30",26,9,7,0.000224466891133558
"31",41,9,7,0.000224466891133558
"32",39,9,7,0.000224466891133558
"33",39,9,7,0.000224466891133558
"34",55,9,7,0.000224466891133558
"35",75,9,7,0.000224466891133558
"36",82,9,7,0.000224466891133558
"37",78,9,7,0.000224466891133558
"38",117,9,7,0.000224466891133558
"39",100,9,7,0.000224466891133558
"40",137,9,7,0.000224466891133558
"41",129,9,7,0.000224466891133558
"42",118,9,7,0.000224466891133558
"43",150,9,7,0.000224466891133558
"44",153,9,7,0.000224466891133558
"45",146,9,7,0.000224466891133558
"46",156,9,7,0.000224466891133558
"47",134,9,7,0.000224466891133558
"48",167,9,7,0.000224466891133558
"49",143,9,7,0.000224466891133558
"50",159,9,7,0.000224466891133558
"51",141,9,7,0.000224466891133558
"52",138,9,7,0.000224466891133558
"53",115,9,7,0.000224466891133558
"54",122,9,7,0.000224466891133558
"55",135,9,7,0.000224466891133558
"56",126,9,7,0.000224466891133558
"57",115,9,7,0.000224466891133558
"58",128,9,7,0.000224466891133558
"59",85,9,7,0.000224466891133558
"60",106,9,7,0.000224466891133558
"61",99,9,7,0.000224466891133558
"62",71,9,7,0.000224466891133558
"63",69,9,7,0.000224466891133558
"64",81,9,7,0.000224466891133558
"65",62,9,7,0.000224466891133558
"66",64,9,7,0.000224466891133558
"67",57,9,7,0.000224466891133558
"68",47,9,7,0.000224466891133558
"69",38,9,7,0.000224466891133558
"70",34,9,7,0.000224466891133558
"71",30,9,7,0.000224466891133558
"72",34,9,7,0.000224466891133558
"73",31,9,7,0.000224466891133558
"74",29,9,7,0.000224466891133558
"75",23,9,7,0.000224466891133558
"76",17,9,7,0.000224466891133558
"77",18,9,7,0.000224466891133558
"78",17,9,7,0.000224466891133558
"79",11,9,7,0.000224466891133558
"80",11,9,7,0.000224466891133558
"81",10,9,7,0.000224466891133558
"82",11,9,7,0.000224466891133558
"83",6,9,7,0.000224466891133558
"84",5,9,7,0.000224466891133558
"85",6,9,7,0.000224466891133558
"86",8,9,7,0.000224466891133558
"87",3,9,7,0.000224466891133558
"88",2,9,7,0.000224466891133558
"89",3,9,7,0.000224466891133558
"90",2,9,7,0.000224466891133558
"91",2,9,7,0.000224466891133558
"92",2,9,7,0.000224466891133558
"93",1,9,7,0.000224466891133558
"94",1,9,7,0.000224466891133558
"95",2,9,7,0.000224466891133558
"97",1,9,7,0.000224466891133558
"99",1,9,7,0.000224466891133558
"100",3,9,7,0.000224466891133558
"102",1,9,7,0.000224466891133558
"104",1,9,7,0.000224466891133558
"105",1,9,7,0.000224466891133558
"125",1,9,7,0.000224466891133558
